author_display,title_display
"",Who are the credit invisibles? : how to help people with limited credit histories
"",Opportunities for educators : 1963-64 academic year
"United States. Congress. House. Committee on Foreign Affairs. Subcommittee on Africa, Global Health, Global Human Rights, and International Organizations, author.","Rwanda : democracy thwarted : hearing before the Subcommittee on Africa, Global health, Global Human Rights, and International Organizations of the Committee on Foreign Affairs, House of Representatives, One Hundred Fifteenth Congress, first session, September 27, 2017"
United States. Advisory Commission on Intergovernmental Relations.,"Advisory Commission on Intergovernmental Relations, to improve effectiveness of American federal system through increased cooperation among national, state, and local levels of government.."
United States. Advisory Commission on Intergovernmental Relations.,"Advisory Commission on Intergovernmental Relations, to improve effectiveness of American federal system through increased cooperation among national, state, and local levels of government.."
"United States. Congress. House. Committee on Appropriations. Subcommittee on Departments of Labor and Health, Education, and Welfare, and Related Agencies Appropriations.","Departments of Labor and Health, Education and Welfare appropriations for 1963 : hearings before a subcommittee of the Committee on Appropriations, House of Representatives, Eighty-seventh Congress, second session : statements of members of Congress, organizations, and interested individuals"
"","Geological and geochemical aspects of uranium deposits : a selected, annotated bibliography, Vol. 2, Rev.1."
"United States. Forest Service, cartographer.",Winter motor vehicle use map
"","Mobile financial services, a summary of comments from the public on opportunities, challenges, and risks for the underserved"
United States. Advisory Commission on Intergovernmental Relations.,"Advisory Commission on Intergovernmental Relations, to improve effectiveness of American federal system through increased cooperation among national, state, and local levels of government.."
"United States. Congress. House. Committee on Transportation and Infrastructure, author.",Coast Guard Improvement and Reform Act of 2017 : report (to accompany H.R. 1726 (including cost estimate of the Congressional Budget Office).
United States. Advisory Commission on Intergovernmental Relations.,"Advisory Commission on Intergovernmental Relations, to improve effectiveness of American federal system through increased cooperation among national, state, and local levels of government.."
"",Thermal effects on aquatic organisms: an annotated bibliography of the .... literature
"",Spotlight on serving limited English proficient consumers : language access in the consumer financial marketplace
"","Report of proceedings, educational development of military personnel conference : Mar. 17, 1960"
"United States. Congress. House. Committee on Foreign Affairs. Subcommittee on the Middle East and North Africa, author.","State department's Antiterrorism Assistance Program : the GAO review : hearing before the Subcommittee on the Middle East and North Africa of the Committee on Foreign Affairs, House of Representatives, One Hundred Fifteenth Congress, first session, October 4, 2017"
"",Nevada applied ecology group publications
"United States. Congress. House. Committee on Foreign Affairs. Subcommittee on the Middle East and North Africa, author.","State department's Antiterrorism Assistance Program : the GAO review : hearing before the Subcommittee on the Middle East and North Africa of the Committee on Foreign Affairs, House of Representatives, One Hundred Fifteenth Congress, first session, October 4, 2017"
"United States. Congress. Senate. Committee on Armed Services. Subcommittee on Strategic Forces, author.","The future nuclear posture of the United States : hearing before the Subcommittee on Strategic Forces of the Committee on Armed Services, United States Senate, One Hundred Fourteenth Congress, second session, January 27, 2016"
"","Ozone in aquatic systems : a selected, annotated bibliography"
"United States. Congress. Senate. Committee on Armed Services, author.","An independent perspective of United States defense policy in the Asia-Pacific Region : hearing before the Committee on Armed Services, United States Senate, One Hundred Fourteenth Congress, second session, February 3, 2016"
"",Grow up healthy!
United States. Congress. Joint Committee on Printing.,"Revised edition regulations of the Joint Committee on Printing. making effective public resolution 14, 1st Session, 59th Congress, to prevent unnecessary printing and binding, etc., approved Mar. 30, 1906, and superseding regulations promulgated May 18, 1906, and Jan. 13, 1909 (Corrected to Oct. 6, 1914)."
"United States. Congress. Senate. Committee on Appropriations. Subcommittee on the Department of Homeland Security, author.","Insuring our future : building a flood insurance program we can live with, grow with, and prosper with : hearing before a subcommittee of the Committee on Appropriations, United States Senate, One Hundred Thirteenth Congress, second session, special hearing, July 23, 2014--Washington, DC."
"United States. Congress. Senate. Committee on Appropriations. Subcommittee on the Department of Homeland Security, author.","Strengthening trade enforcement to protect American enterprise and grow American jobs : hearing before a subcommittee of the Committee on Appropriations, United States Senate, One Hundred Thirteenth Congress, second session, special hearing, July 16, 2014--Washington, DC."
"",Grow up healthy!
"United States. Congress. Senate. Committee on Appropriations, author.","Driving innovation through federal investments : hearing before the Committee on Appropriations, United States Senate, One Hundred Thirteenth Congress, second session : special hearing, April 29, 2014, Washington, DC."
"Jones, Denise R.,",Conducting safe and efficient airport surface operations in a NextGen environment
"Workshop on Crystalline Silicon Solar Cell Materials and Processes (11th : 2001 : Estes Park, Colo.)","11th Workshop on Crystalline Silicon Solar Cell Materials and Processes : August 19-22, 2001, Holiday Inn, Estes Park, Colorado : extended abstracts and papers"
"United States. Congress. House. Committee on Foreign Affairs, author.","Various measures : markup before the Committee on Foreign Affairs, House of Representatives, One Hundred Fifteenth Congress, first session on, H. Res. 422, H.R. 425, H.R. 1196, H.R. 1660, H.R. 2658, H.R. 3320, H.R. 3329, H.R. 3342 and H.R. 3445, September 28, 2017"
"United States. Congress. Senate. Committee on Energy and Natural Resources, author.","The Department of the Interior's budget request for fiscal year 2017 : hearing before the Committee on Energy and Natural Resources, United States Senate, One Hundred Fourteenth Congress, second session, February 23, 2016"
"United States. Congress. Senate. Committee on Armed Services. Subcommittee on Readiness and Management Support, author.","Oversight of Task Force for Business and Stability Operations projects in Afghanistan : hearing before the Subcommittee on Readiness and Management Support of the Committee on Armed Services, United States Senate, One Hundred Fourteenth Congress, second session, January 20, 2016"
"United States. Congress. House. Committee on Foreign Affairs, author.","Various measures : markup before the Committee on Foreign Affairs, House of Representatives, One Hundred Fifteenth Congress, first session on, H. Res. 422, H.R. 425, H.R. 1196, H.R. 1660, H.R. 2658, H.R. 3320, H.R. 3329, H.R. 3342 and H.R. 3445, September 28, 2017"
"United States. Congress. Senate. Committee on Environment and Public Works, author.","Innovative project finance : hearing before the Committee on Environment and Public Works, United States Senate, One Hundred Eleventh Congress, second session, September 28, 2010"
"United States. Congress. Senate. Committee on Environment and Public Works. Subcommittee on Water and Wildlife, author.","Local government perspectives on water infrastructure : hearing before the Subcommittee on Water and Wildlife of the Committee on Environment and Public Works, United States Senate, One Hundred Twelfth Congress, second session, February 28, 2012"
"United States, enacting jurisdiction.","An Act to Restrict the Inclusion of Social Security Account Numbers on Federal Documents Sent by Mail, and for Other Purposes"
"","Transportation energy conservation data book : a selected, annotated bibliography, edition 3."
"United States. Congress. Senate. Select Committee on Intelligence, author.","Open hearing with Hon. Robert Cardillo, Director, National Geospatial-Intelligence Agency : hearing before the Select Committee on Intelligence of the United States Senate, One Hundred Fourteenth Congress, second session, Tuesday, September 27, 2016"
"",Buildings energy use data book : edition 2.
"",Industrial energy use : a selected bibliography
"United States, enacting jurisdiction.",An Act to Amend the Financial Stability Act of 2010 to Modify the Term of the Independent Member of the Financial Stability Oversight Council
"United States. Congress. House. Committee on Oversight and Government Reform, author.",Ensuring a Qualified Civil Service Act of 2017 : report together with minority views (to accompany H.R. 4182) (including cost estimate of the Congressional Budget Office).
"Tsai, S. S.,",The NACOM code for analysis of postulated sodium spray fires in LMFBRs
"",Building the capacity of tax preparation providers to encourage saving
"United States, enacting jurisdiction.",An Act to Require the Administrator of the Federal Emergency Management Agency to Submit a Report Regarding Certain Plans Regarding Assistance to Applicants and Grantees during the Response to an Emergency or Disaster
"Subudhi, M.,",Seismic review table
"Subudhi, M.,",Seismic review table
"",Nuclear facility decommissioning and site remedial actions
"Bunch, Howard M.,","Comparison of the construction planning and manpower schedules for building the PD214 general mobilization ship in a U.S. shipyard and in a Japanese shipyard ; prepared for U.S. Department of Transportation, Maritime Administration, Office of Research and Development"
United States. Congress. Senate. Committee on Rules and Administration. Special Subcommittee on Amendments to Rule XXII.,"Proposed amendments to rule XXII of the Standing rules of the Senate, relating to cloture : hearings before a special subcommittee on Rules and Administration, United States Senate, Eighty-fifth Congress, first session, on S. Res. 17, S. Res. 19, S. Res. 21, S. Res. 28, S. Res. 29, S. Res. 30, S. Res. 32, S. Res. 171, resolutions proposing amendments to rule XXII of the standing rules of the senate. June 17, 24, 25, 28, July 2, 9, 16, 1957"
"Cover, L. E.,",Seismic Safety Margins Research Program : equipment fragility data base
"Prinos, Scott T.,","Saltwater intrusion in the surficial aquifer system of the Big Cypress Basin, southwest Florida, and a proposed plan for improved salinity monitoring"
"United States. Congress. House. Committee on Natural Resources, author.","To designate the bridge located in Blount County, Tennessee, on the Foothills Parkway (commonly known as ""Bridge 2"") as the ""Dean Stone Bridge"" : report (to accompany H.R. 3469) (including cost estimate of the Congressional Budget Office)."
"Geological Survey (U.S.), cartographer.","Map of the approximate inland extent of saltwater at the base of the Biscayne Aquifer in the Model Land area of Miami-Dade County, Florida, 2016"
"United States. Congress. Senate. Committee on Homeland Security and Governmental Affairs, author.","Securely Expediting Clearances through Reporting Transparency Act of 2017 : report of the Committee on Homeland Security and Governmental Affairs, United States Senate, to accompany H.R. 3210, to require the Director of the National Background Investigations Bureau to submit a report on the backlog of personnel security clearance investigations, and for other purposes"
United States. Army Medical Service.,Internal medicine in World War II
"",Chemicals tested for phytotoxicity
United States. Congress. House. Committee on Armed Services.,"Organization of the House Armed Services Committee : hearings before the United States House Committee on Armed Services, Eighty-Fifth Congress, first session, on Jan. 8, 1957"
"","Selected, annotated bibliography of studies relevant to the isolation of nuclear wastes"
United States. Congress. House. Committee on Armed Services. author.,"Military and naval construction : hearings before the Committee on Armed Services, House of Representatives, Eighty-fifth Congress, first session, created pursuant to H.R. 7130 and H.R. 8240, bills to authorize certain construction in military and naval installations and for other purposes May 14, 15, 16, 17, 20, 21, 22, 23, 24, 27, 28, June 4, 5, 6, 7, 10, 11, 13, 14, 17, 18, 19, and 25, 1957"
United States. Congress. House. Committee on Science and Astronautics.,"Development of large solid propellant boosters : report of the Committee on Science and Astronautics, U.S. House of Representatives, Eighty-seventh Congress, second session"
United States. Congress. House. Committee on Irrigation and Reclamation.,"The Columbia basin project act : hearings before the Committee on Irrigation and Reclamation, House of Representatives, Seventy-seventh Congress, second session, on H.R. 6522, a bill to amend an act entitled ""An act to prevent speculation in lands in the Columbia basin prospectively irrigable by reason of the construction of the Grand Coulee Dam project and to aid actual settlers in securing such lands at the fair appraised value thereof as arid land, and for other purposes,"" Act of May 27, 1937 (50 Stat. 208), and for other purposes"
"Smith, Stephen W.,",Fatigue crack growth characteristics of thin sheet titanium alloy Ti 6-2-2-2-2
United States. Congress. House. Committee on Armed Services. author.,"Full committee hearing on H.R. 2429 : House of Representatives, Committee on Armed Services"
"Geological Survey (U.S.), cartographer.","Geologic map of the Strawberry Butte 7.5' quadrangle, Meagher County, Montana"
"",Right to counsel for detained migrants in selected jurisdictions
United States. Congress. Senate. Committee on Irrigation and Reclamation.,"Reclamation project act of 1939 : hearing before the Committee on Irrigation and Reclamation, United States Senate, Seventy-sixth Congress, first session, on S. 2591, a bill to provide a feasible and comprehensive plan for the variable payment of construction charges on United States reclamation projects, to protect the investment of the United States in such projects, and for other purposes"
"United States. Army. Infantry Division, 4th.",Annual historical supplement
"Mossman, Billy C., 1920-","The last salute : civil and military funerals, 1921-1969"
"Rizzi, Stephen A. (Stephen Anthony),",Improved equivalent linearization implementations using nonlinear stiffness evaluation
"Gerhold, Carl H.,",Database of inlet and exhaust noise shielding for wedge-shaped airframe
"United States. Army. Infantry Regiment, 3rd.",The Old Guard : history of the Third Infantry Regiment
"United States. Army. Infantry Regiment, 3rd.",The Old Guard; history of the Third Infantry Regiment
"United States. Army. Infantry Regiment, 3rd.","The old Guard; the army's ceremonial unit and escort for the President : [3rd U.S. Infantry, tradition of service to America]."
"",Chemical mutagenesis; a survey of the ..... literature
United States. Army Medical Service.,Internal medicine in World War II
United States. Department of the Army.,"Twice the citizen : a history of the United States Army Reserve, 1908-1983 : order form"
"",Microcosms as potential screening tools for evaluating transport and effects of toxic substances
"United States, enacting jurisdiction.",Asia-Pacific Economic Cooperation Business Travel Cards Act of 2017
"United States. Army. Infantry Regiment, 3rd.",The Old Guard : a story of the Third Infantry Regiment
"",Chemicals identified in human biological media : a data base
"United States. Army. Infantry Regiment, 3rd.",The Old Guard : history of the Third Infantry Regiment
"United States. Army. Infantry Regiment, 3rd.",The Old Guard : history of the Third Infantry Regiment
"Smith, George E. (George Edward), 1913-",Losses of fertilizers and pesticides from claypan soils
"United States. Congress. House. Committee on Energy and Commerce. Subcommittee on Oversight and Investigations, author.","Ways to improve and strengthen the international anti-doping system : hearing before the Subcommittee on Oversight and Investigations of the Committee on Energy and Commerce, House of Representatives, One Hundred Fifteenth Congress, first session, February 28, 2017"
"Glasser, Wolfgang G.,",Studies of low molecular weight lignin sulfonates
"",Activities of surgical consultants
United States Army Infantry Center.,History; annual supplement
"","Environmental assessment of air quality, noise and cooling tower drift from the Jersey City total energy demonstration"
"United States. Congress. House. Committee on Foreign Affairs. Subcommittee on the Western Hemisphere, author.","Energy opportunities in South America : hearing before the Subcommittee on the Western Hemisphere of the Committee on Foreign Affairs, House of Representatives, One Hundred Fifteenth Congress, first session, May 17, 2017"
"",Application of Modular Integrated Utility Systems.......
"Maryland. Water Resources Administration, author.",Programmed demonstration for erosion and sediment control specialists
"",Activities of surgical consultants
"United States, enacting jurisdiction.",An Act to Establish a National Clinical Care Commission
"",History and mission of the Counter Intelligence Corps in World War II.
"United States, enacting jurisdiction.","An Act to Provide for Consideration of the Extension under the Energy Policy and Conservation Act of Nonapplication of No-Load Mode Energy Efficiency Standards to Certain Security or Life Safety Alarms or Surveillance Systems, and for Other Purposes"
"Nawrocki, Michael A.,",Demonstration of the separation and disposal of concentrated sediments
"Becker, Burton C.,",An executive summary of three EPA demonstration programs in erosion and sediment control
"United States, enacting jurisdiction.","Joint Resolution Providing for Congressional Disapproval under Chapter 8 of Title 5, United States Code, of the Rule Submitted by Bureau of Consumer Financial Protection Relating to ""Arbitration Agreements."""
"",Survey of methods for isolating and containing gaseous carbon dioxide as nonvolatile products
"United States. Congress. House. Committee on Foreign Affairs. Subcommittee on Terrorism, Nonproliferation, and Trade, author.","Nuclear deal fallout : the global threat of Iran : hearing before the Subcommittee on Terrorism, Nonproliferation, and Trade of the Committee on Foreign Affairs, House of Representatives, One Hundred Fifteenth Congress, first session, May 24, 2017"
"",Thoracic surgery
"",Coal block pyrolysis ....
"United States. President (2017- : Trump), author.","Continuation of the national emergency with respect to North Korea : message from the President of the United States transmitting notification that the national emergency, with respect to North Korea, originally declared in Executive Order 13466 of June 26, 2008, as amended, is to continue in effect beyond June 26, 2017, pursuant to 50 U.S.C. 1622(d); Public law 94-412, Sec. 202(d); (90 Stat. 1257)."
"",Surface properties of Texas lignite coal
"United States, enacting jurisdiction.","Consolidated Appropriations Act, 2017"
"United States, enacting jurisdiction.","Consolidated Appropriations Act, 2017"
"United States. Congress. House. Committee on Energy and Commerce. Subcommittee on Environment, author.","Reinvestment and rehabilitation of our nation's safe drinking water delivery systems : hearing before the Subcommittee on Environment of the Committee on Energy and Commerce, House of Representatives, One Hundred Fifteenth Congress, first session, March 16, 2017"
"",Thoracic surgery
"",Analysis of barium hydroxide and calcium hydroxide slurry carbonation reactors
United States. Department of the Army. Office for Occupied Areas. Reorientation Division.,Annual report of activities supporting reorientation program in Japan and the Ryukyu Islands
"Pitt, W. Wilson,",Automated analysis of individual refractory organics in polluted water
"Rechnitz, G. A.,",Ion-selective membrane electrodes for water pollution monitoring
"Skogerboe, Gaylord V.,",Evaluation of drainage for salinity control in Grand Valley
"United States. Congress. House. Committee on Foreign Affairs. Subcommittee on the Middle East and North Africa, author.","Israel, the Palestinians, and the United Nations : challenges for the new administration : joint hearing before the Subcommittee on the Middle East and North Africa and the Subcommittee on Africa, Global Health, Global Human Rights, and International Organizations of the Committee on Foreign Affairs, House of Representatives, One Hundred Fifteenth Congress, first session, February 2, 2017"
"United States. Congress. House. Committee on Foreign Affairs. Subcommittee on Africa, Global Health, Global Human Rights, and International Organizations, author.","The questionable case for easing Sudan sanctions : hearing before the Subcommittee on Africa, Global Health, Global Human Rights, and International Organizations of the Committee on Foreign Affairs, House of Representatives, One Hundred Fifteenth Congress, first session, April 26, 2017"
"",Distribution ratios on Dowex 50W resins of metals leached in the caron nickel recovery process
"",Where the leaders are ...
"",Where the leaders are ...
"",Where the leaders are ...
"",Quick start guide for the Civics and citizenship toolkit!
"",Determination of price-ratio constraints on synthetic fuel products
"",Reaction modeling of an atmospheric fluidized-bed coal combustor
"",Examination of skeletal structure of coal
"",Recovery of neutral-solvent fermentation products
"",Where the leaders are ...
"",Where the leaders are ...
"United States. Department of State, author.","A letter certifying that the conditions of section 135(d)(6) of the Atomic Energy Act of 1954, as amended, have been met : communication from the Secretary, the Department of State transmitting a letter certifying that the conditions of section 135(d)(6) of the Atomic Energy Act of 1954, as amended, including as amended by the Iran Nuclear Agreement Review Act of 2015 (Public law 114-17), have been met as of April 18, 2017"
"United States. Congress. Senate. Committee on Commerce, Science, and Transportation, author.","No Human Trafficking on Our Roads Act : report of the Committee on Commerce, Science, and Transportation on S. 1532"
"United States. Congress. House. Committee on the Judiciary. Subcommittee on Crime, Terrorism, Homeland Security, and Investigations, author.","Oversight of Department of Justice grant programs : hearing before the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations of the Committee on the Judiciary, House of Representatives, One Hundred Fifteenth Congress, first session, June 8, 2017"
"",Merchant marine and shipping acts and other laws relating to the United States Maritime commission
"Integrated Logistic Support Symposium (1st : 1969 : Washington, D.C.)","Proceedings of First Annual Integrated Logistic Support Symposium, Washington, D.C., July 1969"
"United States. Congress. House. Committee on the Judiciary. Subcommittee on the Constitution and Civil Justice, author.","H.R. 1689 : the ""Private Property Rights Protection Act"" : hearing before the Subcommittee on the Constitution and Civil Justice of the Committee on the Judiciary, House of Representatives, One Hundred Fifteenth Congress, first session, March 30, 2017"
"United States. Congress. House. Committee on Foreign Affairs. Subcommittee on Asia and the Pacific, author.","Revitalizing U.S.-ASEAN relations : hearing before the Subcommittee on Asia and the Pacific of the Committee on Foreign Affairs, House of Representatives, One Hundred Fifteenth Congress, first session, May 17, 2017"
"United States. Congress. House. Committee on Foreign Affairs. Subcommittee on Africa, Global Health, Global Human Rights, and International Organizations, author.","Disappeared, jailed, and tortured in China : wives petition for their husbands' freedom : hearing before the Subcommittee on Africa, Global Health, Global Human Rights, and International Organizations of the Committee on Foreign Affairs, House of Representatives, One Hundred Fifteenth Congress, first session, May 18, 2017"
"","Response of a packed-bed, fixed-film bioreactor to zinc toxicant"
"",50 state snapshots of servicemember complaints : a nationwide look at complaints
"Zablotsky, Benjamin,","Estimated prevalence of children with diagnosed developmental disabilities in the United States, 2014-2016"
"United States. Congress. House. Committee on Education and the Workforce. Subcommittee on Higher Education and Workforce Development, author.","Helping Americans get back to work : implementation of the Workforce Innovation and Opportunity Act : hearing before the Subcommittee on Higher Education and Workforce Development, Committee on Education and the Workforce, U.S. House of Representatives, One Hundred Fifteenth Congress, first session, hearing held in Washington, DC, June 15, 2017"
"United States. Government Accountability Office, author.","Identity theft, improved collaboration could increase success of IRS initiatives to prevent refund fraud : report to congressional committees"
"Franzen, Archie W.,","Survey report for the lock #66 complex : located north of Paw Paw Tunnel, Chesapeake and Ohio Canal"
United States. Congress. Senate. Committee on Rules and Administration. Subcommittee on Standing Rules of the Senate. author.,"Proposed amendments to the standing rules of the Senate : report of the Subcommittee on Standing Rules of the Senate to the Committee on Rules and Administration, United States Senate, on S. Res. 9, S. Res. 12, S. Res. 13, S. Res. 35, S. Res. 36, S. Res. 37, S. Res. 38, and S. Res. 155, resolutions proposing amendments to the standing rules of the Senate, and S. Res. 10 and S. Res. 14, proposed amendments to the Legislative reorganization act of 1946, together with individual views of Mr. Cannon"
"United States. Government Accountability Office, author.","Diversity in the technology sector : federal agencies could improve oversight of equal employment opportunity requirements : report to the Ranking Member, Committee on Education and the Workforce, House of Representatives"
"",White Sands trip planner
"Lindbergh, Charles A. (Charles Augustus), 1902-1974.","Lend-lease bill : extract from hearings before the Committee on Foreign Affairs, House of Representatives, Seventy-seventh Congress, first session, on H.R. 1776 a bill further to promote the defense of the United States, and for other purposes ... January 23, 1941"
United States. Army Materiel Command.,"Procurement and production : manufacturing methods and technology, five-year program, FY 1968-1972"
"United States. Congress. Senate. Committee on Armed Services, author.","The situation in Afghanistan : hearing before the Committee on Armed Services, United States Senate, One Hundred Fourteenth Congress, second session, February 4, 2016"
United States. Army Materiel Command.,"Procurement and production; manufacturing methods and technology, five-year program, FY 1968-1972 [i.e. 1969-1973]."
"United States. Congress. Senate. Committee on Energy and Natural Resources, author.","Puerto Rico : economy, debt, and options for Congress : hearing before the Committee on Energy and Natural Resources, United States Senate, One Hundred Fourteenth Congress, first session, October 22, 2015"
"United States. Government Accountability Office, author.","Automated vehicles, comprehensive plan could help DOT address challenges : report to congressional committees"
"United States. Congress. Senate. Committee on Energy and Natural Resources, author.","Western and Alaska water legislation : hearing before the Committee on Energy and Natural Resources, United States Senate, One Hundred Fourteenth Congress, first session, on H.R. 2898, S. 1583, S. 1894, S. 1936, S. 2046, S. 2083, October 8, 2015"
United States. Congress. House. Committee on Armed Services.,"Richmond air crash, November 8, 1961 : hearings before the Special Subcommittee to Investigate Imperial Airlines plane crash near Richmond, Va., November 8, 1961, Committee on Armed Services, House of Representatives, Eighty-seventh Congress, second session"
"",History & culture of the Tularosa Basin
"",50 state snapshot of student debt : a nationwide look at complaints about student loans
"Norman, Ralph L.",Extended applications of management information systems in government : special report
"Levush, Ruth,",Israel: extrajudicial sanctions against husbands noncompliant with rabbinical divorce rulings
United States. Congress. House. Committee on Armed Services.,"Military construction authorization, fiscal year 1963. Hearings before the Committee on Armed Services, House of Representatives, Eighty-seventh Congress, second session, pursuant to H.R. 10202 and H.R. 11131, bills to authorize certain constructions at military installations, and other purposes ..."
"",Vapor-liquid equilibrium model for a partially miscible multicomponent system : isopropanol-acetone-ethanol-n-butanol-water
"United States. Congress. Senate. Committee on Armed Services, author.","United States strategy and policy in the Middle East : hearing before the Committee on Armed Services, United States Senate, One Hundred Fourteenth Congress, second session, January 20, 2016"
"",Public information on radioactive waste : a study of an emerging issue
"",Bibliography of articles on radioactive waste from 1973-1978
"Levush, Ruth,",Israel: military court decision on killing neutralized Palestinian assailant
"",Impacts of the Resource Conservation and Recovery Act on energy supply
"United States. Congress. House. Committee on Foreign Affairs. Subcommittee on Africa, Global Health, Global Human Rights, and International Organizations, author.","Vietnam : why religious freedom and human rights are critical to U.S. national interests : hearing before the Subcommittee on Africa, Global Health, Global Human Rights, and International Organizations of the Committee on Foreign Affairs, House of Representatives, One Hundred Fifteenth Congress, first session, May 25, 2017"
"",Parliamentary procedures requiring a supermajority in selected jurisdictions
"United States. Congress. House. Committee on Financial Services, author.",Systemic Risk Designation Improvement Act of 2017 : report together with minority views (to accompany H.R. 3312) (including cost estimate of the Congressional Budget Office).
"United States. Congress. House. Committee on Financial Services, author.",Senior Safe Act of 2017 : report (to accompany H.R. 3758) (including cost estimate of the Congressional Budget Office).
"",Military intelligence : a picture history
"Swanson, Vernon E. (Vernon Emmanuel), 1922-1992,",Geology and geochemistry of uranium in marine black shales : a review
United States. Congress. House. Committee on Armed Services. Subcommittee No. 3.,"Military reserve posture hearings : hearings before Subcommittee No. 3 of the Committee on Armed Services, House of Representatives, Eighty-seventh Congress, second session. April 16, 17, 19, 30, May 1, 2, 3, 7, 9, 10, 11, 14, 16, 21, 22, 23, 24, June 4, 5, 7, 8, 20, and July 13, 1962"
United States. Congress. Joint Committee on Atomic Energy. Subcommittee on Legislation.,"Review of proposals under power demonstration program: hearing before the Subcommittee on Legislation of the Joint Committee on Atomic Energy, Congress of the United States, Eighty-fifth Congress, first session on Review of proposals under Power Demonstration Program, September 17, 1957"
"",Descriptions of selected accidents that have occurred at nuclear reactor facilities
United States. Congress. Senate. Committee on Banking and Currency. Subcommittee on Housing and Urban Affairs.,"Nominations of Erle Cocke, Sr., Edward N. Gadsby, and Frank A. Southard, Jr.: hearing, Eighty-fifth Congress, first session, on the nominations of Erle Cocke, Sr., to be a member of the Board of Directors of the Federal Deposit Insurance Corporation; Edward N. Gadsby to be a member of the Securities and Exchange Commission; and Frank A. Southard, Jr., to be United States Executive Director, International Monetary Fund, July 9, 1957"
"United States. Congress. House. Committee on Financial Services, author.",Investor Clarity and Bank Parity Act : report (to accompany H.R. 3093) (including cost estimate of the Congressional Budget Office).
"Faust, George Tobias, 1908-1985,",The disintegration of the Wolf Creek meteorite and the formation of pecoraite : the nickel analog of clinochrysotile
United States. Department of the Army.,Report of the Department of the Army review of the preliminary investigations into the My Lai incident
"United States. Congress. House. Committee on Naval Affairs, author.","Hearings before Committee on Naval Affairs of the House of Representatives on sundry legislation affecting the naval establishment, 1933-1934 : Seventy-third Congress, first and second sessions"
"",Neurosurgery
"Bell, Kenneth G., 1911-",Uranium and other trace elements in petroleums and rock asphalts
"United States. Congress. House. Committee on Financial Services, author.",Fostering Innovation Act of 2017 : report together with minority views (to accompany H.R. 1645) (including cost estimate of the Congressional Budget Office).
"Gill, James R. (James Rogers), 1922-1972,",The Red Bird section of the upper Cretaceous Pierre shale in Wyoming
"",Operation M-DAP
"United States. Congress. House. Committee on the Judiciary, author.",Concealed Carry Reciprocity Act of 2017: report together with dissenting views (to accompany H.R. 38) (including cost estimate of the Congressional Budget Office).
"United States. Congress. House. Committee on Financial Services, author.",Bureau of Consumer Financial Protection Examination and Reporting Threshold Act of 2017 : report together with minority views (to accompany H.R. 3072) (including cost estimate of the Congressional Budget Office).
"United States. Congress. Senate. Committee on Homeland Security and Governmental Affairs, author.","Temporary and Term Appointments Act of 2017 : report of the Committee on Homeland Security and Governmental Affairs, United States Senate, to accompany S. 1886, to amend subchapter 1 of chapter 31 of title 5, United States Code, to authorize agencies to make noncompetitive temporary and term appointments in the competitive service"
"",Coal liquefaction process research process survey : R & D interim report
"",Neurosurgery
"Averitt, Paul, 1908-","Geology and coal resources of the Cedar Mountain quadrangle, Iron County, Utah"
"",Research and development of an air-cycle heat-pump water heater
"Smith, Robert L. (Robert Leland), 1920-",Zones and zonal variations in welded ash flows
"",Evaluation of the Battelle agglomerating ash burner process for the production of medium Btu gas
"Foster, Margaret D. (Margaret Dorothy), 1895-",Interpretation of the composition of lithium micas
"Todd, Ruth, 1913-1984,","Foraminifera from Onotoa Atoll, Gilbert Islands"
"United States. Congress. House. Committee on Armed Services, author.","15 years after 9/11 : the state of the fight against Islamic terrorism : Committee on Armed Services, House of Representatives, One Hundred Fourteenth Congress, second session, hearing held September 21, 2016"
"United States. Congress. House. Committee on Armed Services. Subcommittee on Military Personnel, author.","Views on H.R. 4298, Vietnam Helicopter Crew Memorial Act and H.R. 5458, Veterans TRICARE Choice Act : hearing before the Subcommittee on Military Personnel of the Committee on Armed Services, House of Representatives, One Hundred Fourteenth Congress, second session, hearing held September 8, 2016"
"",Disclosure of confidential child abuse and neglect records
"United States. Congress. Senate. Committee on Armed Services, author.","Department of Defense security cooperation and assistance programs and authorities : hearing before the Committee on Armed Services, United States Senate, One Hundred Fourteenth Congress, second session, March 9, 2016"
"","Antonin Scalia, Associate Justice of the United States : memorial tributes in the Congress of the United States"
"United States. President (2017- : Trump), author.","Designation of funding as an emergency requirement : communication from the President of the United States transmitting designating, as emergency requirements, all funding so designated by the Congress, pursuant to the Consolidated Appropriations Act, 2017, sec. 6(a)."
"",Feasibility study : comparison of coal- and nuclear-fueled alternatives for process steam and by product electrical power generation for the E. I. Du Pont de Nemours and Company
"Miller, Don J. (Donald John), 1919-1961,","Giant waves in Lituya Bay, Alaska"
"LaMarche, Valmore C.,","Rates of slope degredation as determined from botanical evidence, White Mountains, California"
"",Feasibility study : comparison of coal- and nuclear-fueled alternatives for process steam and by product electrical power generation for the PPG Industries
United States. Department of the Army. Office of the Deputy Chief of Staff for Logistics.,Index of DA publications
"",Your future in the Army ROTC
"",Research and development of a heat-pump water heater
"",You and the Army ROTC
"",Energy conservation opportunities in appliances using energy storage
"",Cogeneration feasibility study in the Gulf States utilities service area
